City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
4,Sao Filipe,CV,71.42,overcast clouds,14.8961,-24.4956,Hotel Xaguate
5,Hermanus,ZA,65.89,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
6,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
13,Kasongo-Lunda,CD,70.34,light rain,-6.4667,16.8167,Hotel Name
18,Chuy,UY,71.76,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
22,Bluff,NZ,72.81,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
25,Busselton,AU,73.04,clear sky,-33.65,115.3333,Observatory Guest House
32,Mataura,NZ,72.48,clear sky,-46.1927,168.8643,Ellie's Villa
35,Castro,BR,64.17,clear sky,-24.7911,-50.0119,CHACARA BAILLY
36,Punta Arenas,CL,51.12,scattered clouds,-53.15,-70.9167,Hotel Hain
39,Tuatapere,NZ,72.82,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
40,Moron,AR,69.55,scattered clouds,-34.6534,-58.6198,Hotel Morón
42,Mar Del Plata,AR,70.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
45,San Quintin,MX,58.32,clear sky,30.4833,-115.95,Don Eddie's Landing
47,Ponta Do Sol,PT,62.71,overcast clouds,32.6667,-17.1,Hotel do Campo
49,Saint George,US,63.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
53,Hambantota,LK,73.74,few clouds,6.1241,81.1185,Bungalow 63
60,Ribeira Grande,PT,56.77,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
61,Adrar,MR,65.84,clear sky,20.5022,-10.0711,Hotel Name
62,Victoria,HK,50.95,light rain,22.2855,114.1577,Mini Hotel Central
64,Qeshm,IR,71.38,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
66,Pacific Grove,US,60.62,overcast clouds,36.6177,-121.9166,Lovers Point Inn
69,Codrington,AU,61.59,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
71,Lagoa,PT,55.87,few clouds,39.05,-27.9833,Casa Das Faias
72,Hobart,AU,61.11,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
77,Cape Town,ZA,69.1,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
78,Zambezi,ZM,65.44,moderate rain,-13.5432,23.1047,Royal Kutachika Lodge
80,Chepareria,KE,64.9,overcast clouds,1.3077,35.2039,Hamza Lodge
82,Faya,SA,50.52,clear sky,18.3851,42.4509,املاك خالد الشعشوع
85,Saldanha,ZA,62.51,few clouds,-33.0117,17.9442,Blue Bay Lodge
87,New Norfolk,AU,60.75,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
89,Tessalit,ML,70.84,clear sky,20.1986,1.0114,Hotel Name
91,Airai,TL,69.33,overcast clouds,-8.9266,125.4092,Hotel Name
92,Praia,CV,70.34,broken clouds,14.9215,-23.5087,LT Aparthotel
95,Jega,NG,69.78,few clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
103,Esperance,AU,66.36,scattered clouds,-33.8667,121.9,Hospitality Esperance
105,Najran,SA,63.68,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
109,Cabo San Lucas,MX,73.62,smoke,22.8909,-109.9124,Hotel Tesoro Los Cabos
114,Ancud,CL,60.42,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
116,Oussouye,SN,73.11,scattered clouds,12.485,-16.5469,Auberge du Routard
118,San Luis,AR,72.79,overcast clouds,-33.295,-66.3356,Huarpes Hotel
122,Port Alfred,ZA,65.37,clear sky,-33.5906,26.891,The Halyards Hotel
125,Lebu,CL,57.02,clear sky,-37.6167,-73.65,Hostal Las Lilas
128,Ariquemes,BR,71.89,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
132,Richards Bay,ZA,74.71,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
147,Cidreira,BR,74.75,broken clouds,-30.1811,-50.2056,Hotel Castelo
148,Orange Cove,US,67.66,overcast clouds,36.6244,-119.3137,Hotel Name
149,Pithoro,PK,68.85,clear sky,25.5167,69.3833,Village Haji Muhammad Yousif Panhwar
157,Atar,MR,67.21,overcast clouds,20.5169,-13.0499,Oumou Elghoura
159,Mattru,SL,73.99,clear sky,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
161,Camacha,PT,58.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
165,Bredasdorp,ZA,63.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
168,Kabare,CD,60.75,overcast clouds,-2.4683,28.8242,Hôtel Panorama
169,Kruisfontein,ZA,56.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
171,Keroka,KE,54.48,light rain,-0.7758,34.9453,Bunker Hotel Keroka
177,Gardelegen,DE,52.81,overcast clouds,52.5252,11.3952,"Hotel und Restaurant , Café am Rathaus"
184,North Platte,US,55.11,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
190,Surt,LY,61.93,scattered clouds,31.2089,16.5887,الهادي ابوشعاله سرت
192,Port Blair,IN,69.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
195,Providencia,MX,74.86,clear sky,28.7167,-111.5833,Hotel Name
203,Lompoc,US,60.12,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
209,Porto Walter,BR,70.92,light rain,-8.2686,-72.7439,Secretaria de saúde
214,Buraydah,SA,52.23,clear sky,26.326,43.975,Mövenpick Qassim
215,Susanville,US,51.64,clear sky,40.4163,-120.653,Comfort Inn & Suites
224,Zinder,NE,61.38,clear sky,13.8072,8.9881,Hotel de Ville
228,Te Anau,NZ,71.37,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
229,Acaponeta,MX,74.19,broken clouds,22.4964,-105.3594,Hotel Casa Blanca
230,Tura,IN,52.45,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
232,San Patricio,US,70.21,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
233,Fortuna,US,51.48,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
234,San Antonio,US,69.15,few clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
243,Saint-Francois,FR,50.41,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
244,Jalu,LY,59.68,overcast clouds,29.0331,21.5482,صاحبة الفخامة
246,Beloha,MG,69.39,clear sky,-25.1667,45.05,Hotel Name
249,Del Rio,US,69.91,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
251,Dakar,SN,72.48,broken clouds,14.6937,-17.4441,Novotel Dakar
252,East London,ZA,67.71,clear sky,-33.0153,27.9116,Tu Casa
256,Port Elizabeth,ZA,59.09,scattered clouds,-33.918,25.5701,39 On Nile Guest House
260,Nouadhibou,MR,62.55,overcast clouds,20.931,-17.0347,El Medina
261,Arlit,NE,66.76,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
275,Vallenar,CL,71.6,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
276,Tres Arroyos,AR,63.52,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
278,Chimbote,PE,70.72,broken clouds,-9.0853,-78.5783,Hotel Briliá
279,Taoudenni,ML,74.68,broken clouds,22.6783,-3.9836,Hotel Name
282,Bondo,CD,66.29,overcast clouds,3.8146,23.6866,Hotel Name
284,Tsaratanana,MG,72.86,overcast clouds,-16.7833,47.65,Hotel Name
285,Shakiso,ET,65.53,overcast clouds,5.75,38.9167,Bealu Girma Hottel
287,Kadur,IN,65.53,light rain,13.5533,76.0131,Annapoorna Castle
288,Vila Franca Do Campo,PT,57.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
291,Uige,AO,65.91,moderate rain,-7.6087,15.0613,Hotel Catraio
292,Sancti Spiritus,CU,72.21,clear sky,21.9297,-79.4425,Hostal El Parque
296,San Cristobal,VE,66.38,few clouds,7.7669,-72.225,Pirineos
303,Antibes,FR,56.44,clear sky,43.5624,7.1278,"ROYAL ANTIBES Luxury Hotel, Residence, Beach & Spa"
304,Kingman,US,67.12,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
307,Kaitangata,NZ,68.16,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
308,Guider,CM,72.9,clear sky,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
323,Marsh Harbour,BS,71.8,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
331,Kerrville,US,65.68,overcast clouds,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
333,Carballo,ES,52.9,overcast clouds,43.213,-8.691,Pazo do Souto
334,Gazanjyk,TM,50.9,overcast clouds,39.2446,55.5154,Railway motel
335,Nabire,ID,74.53,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
337,Arraias,BR,68.23,overcast clouds,-12.9288,-46.9437,Hotel Japão
338,Beziers,FR,54.88,broken clouds,43.3476,3.219,Hôtel Terminus
340,Safaga,EG,61.3,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
341,Talcahuano,CL,60.48,clear sky,-36.7167,-73.1167,departamento comodo
342,Myitkyina,MM,57.97,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
345,Garowe,SO,66.18,broken clouds,8.4054,48.4845,Curubo Hotel
355,Upington,ZA,73.44,clear sky,-28.4478,21.2561,River Place Manor
357,Cervo,ES,55.96,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
361,Pakxan,LA,54.86,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
364,Caluquembe,AO,59.63,overcast clouds,-13.7833,14.6833,Hotel Kalukembe
365,Stephenville,US,63.39,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
369,Sambava,MG,74.93,overcast clouds,-14.2667,50.1667,Melrose
377,Diamantino,BR,71.82,overcast clouds,-14.4086,-56.4461,Hotel Delta
378,Marawi,PH,68.65,overcast clouds,7.9986,124.2928,Derogongan Residence
382,Huarmey,PE,71.92,overcast clouds,-10.0681,-78.1522,Hotel Miramar
383,Naze,JP,50.92,overcast clouds,28.3667,129.4833,Shishime Hotel
384,Maymyo,MM,57.18,overcast clouds,22.0333,96.4667,Tiger Hotel
385,Bilma,NE,61.81,clear sky,18.6853,12.9164,Expeditions Ténére voyages
387,Dickson,US,56.32,few clouds,36.077,-87.3878,East Hills Bed & Breakfast Inn
395,Hirara,JP,61.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
396,Formosa Do Rio Preto,BR,69.98,overcast clouds,-11.0483,-45.1931,Porto Center Hotel
397,Namikupa,TZ,71.56,light rain,-10.8333,39.6,Hotel Name
398,Lobatse,BW,65.82,few clouds,-25.2167,25.6667,Swinburn's Rest
405,Muros,ES,54.84,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
406,Xai-Xai,MZ,73.89,clear sky,-25.0519,33.6442,Complexo da Familia
417,Atchison,US,54.48,broken clouds,39.563,-95.1216,"Quality Inn, Atchison"
425,Guerrero Negro,MX,62.06,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
426,Rudbar,AF,62.6,broken clouds,30.15,62.6,Hotel Name
427,Maxixe,MZ,74.71,clear sky,-23.8597,35.3472,Oceano
430,Denpasar,ID,73.06,light rain,-8.65,115.2167,OYO 3156 Hotel Warta 2
432,Catamarca,AR,73.04,broken clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
436,Bud,US,51.78,clear sky,39.447,-86.1758,Ted McQuinn Trust
437,Waitati,NZ,63.81,clear sky,-45.75,170.5667,Arden Country House BnB Dunedin
442,Esna,EG,55.9,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
445,Woodward,US,58.73,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
453,Necochea,AR,67.03,light rain,-38.5473,-58.7368,dyd -mar Hotel
454,Armidale,AU,74.8,scattered clouds,-30.5167,151.65,Abbotsleigh Motor Inn
459,Facatativa,CO,54.95,broken clouds,4.8137,-74.3545,Hotel Casa Medina
460,Wanning,CN,58.12,overcast clouds,18.8003,110.3967,Paradise Hotel
465,Lohr,DE,51.91,overcast clouds,49.9936,9.5783,Michel & Friends Hotel Franziskushöhe
466,Kontagora,NG,74.64,overcast clouds,10.3999,5.4695,Queens Guest Inn
467,Doha,QA,71.58,overcast clouds,25.2867,51.5333,Movenpick Hotel Doha
468,Dunedin,NZ,63.81,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
473,Nagamangala,IN,65.79,few clouds,12.8156,76.7575,Annapurneshwari Residency nagamangala
476,Nombre De Dios,MX,71.15,overcast clouds,23.85,-104.2333,Uraján de Luna Hotel Boutique & SPA
477,Angouleme,FR,52.12,mist,45.65,0.15,Mercure Angoulême - Hôtel de France
478,Gumdag,TM,50.83,overcast clouds,39.2061,54.5906,Hotel Name
481,Nalut,LY,59.74,broken clouds,30.3333,10.85,Hotel Name
482,Sao Borja,BR,70.95,light rain,-28.6606,-56.0044,Hotel Executivo
484,Mecca,SA,64.13,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
486,Awjilah,LY,59.99,broken clouds,29.1081,21.2869,المنزل
489,Whitianga,NZ,73.36,few clouds,-36.8333,175.7,Beachside Resort Whitianga
490,Mount Gambier,AU,61.54,overcast clouds,-37.8333,140.7667,The Commodore
493,Kidal,ML,71.01,clear sky,18.4411,1.4078,Hotel Name
494,Port Lincoln,AU,62.44,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
495,Antofagasta,CL,67.28,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
498,Palora,EC,67.42,overcast clouds,-1.7,-77.9333,Rancho grande
500,Malibu,US,63.57,overcast clouds,34.005,-118.8101,Malibu Country Inn
503,Constitucion,CL,55.71,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
504,Kendari,ID,74.35,overcast clouds,-3.945,122.4989,Hotel Wixel
508,Latur,IN,66.7,overcast clouds,18.4,76.5833,Hotel Shivneri Durvankur Lodge
509,Brumadinho,BR,72.12,overcast clouds,-20.1433,-44.1997,Ville de Montagne Hotel
515,Manjacaze,MZ,71.58,clear sky,-24.7117,33.8828,Hotel Gani
517,Rawson,AR,56.53,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
519,Victor Harbor,AU,66.72,overcast clouds,-35.5667,138.6167,McCracken Country Club
521,Eirunepe,BR,72.93,overcast clouds,-6.6603,-69.8736,Atrás de você
522,Nampula,MZ,71.55,scattered clouds,-15.1165,39.2666,Ruby Backpackers
524,Lakes Entrance,AU,65.16,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
531,Aconibe,GQ,68.22,overcast clouds,1.2968,10.9369,Hotel Name
532,Seminole,US,68.63,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
