City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
0,Albany,42.6001,-73.9662,31.86,47,4,1.01,US,clear sky
1,Rikitea,-23.1203,-134.9692,75.74,79,100,6.78,PF,moderate rain
2,Port-Gentil,-0.7193,8.7815,81.57,74,100,6.73,GA,overcast clouds
3,Saint-Joseph,-21.3667,55.6167,82.78,86,100,26.04,RE,light rain
4,Sao Filipe,14.8961,-24.4956,71.42,72,99,12.17,CV,overcast clouds
5,Hermanus,-34.4187,19.2345,65.89,86,61,4.68,ZA,broken clouds
6,Pisco,-13.7,-76.2167,69.85,83,0,8.05,PE,clear sky
7,Ilulissat,69.2167,-51.1,-2.18,71,75,4.61,GL,broken clouds
8,Longyearbyen,78.2186,15.6401,-2.36,78,0,14.97,SJ,clear sky
9,Mahebourg,-20.4081,57.7,81.25,85,100,28.5,MU,overcast clouds
10,Natal,-5.795,-35.2094,79.45,83,40,5.75,BR,scattered clouds
11,Jhalu,29.35,78.25,47.25,64,0,3.44,IN,clear sky
12,Hithadhoo,-0.6,73.0833,80.96,70,9,4.83,MV,clear sky
13,Kasongo-Lunda,-6.4667,16.8167,70.34,98,100,2.44,CD,light rain
14,Porto Novo,6.4965,2.6036,78.51,87,23,5.28,BJ,few clouds
15,Hasaki,35.7333,140.8333,39.6,35,2,28.63,JP,clear sky
16,Turayf,31.6725,38.6637,44.53,87,83,12.08,SA,broken clouds
17,Ushuaia,-54.8,-68.3,43.25,74,75,2.51,AR,broken clouds
18,Chuy,-33.6971,-53.4616,71.76,85,82,11.34,UY,broken clouds
19,Xuanhua,40.6103,115.0447,10.53,69,17,4.61,CN,few clouds
20,Hilo,19.7297,-155.09,82.13,76,20,10.36,US,few clouds
21,Kulhudhuffushi,6.6221,73.07,81.43,75,91,6.04,MV,overcast clouds
22,Bluff,-46.6,168.3333,72.81,60,2,6.49,NZ,clear sky
23,Istisu,40.9457,48.0738,36.14,51,19,3.76,AZ,few clouds
24,Saint-Augustin,51.226,-58.6502,-10.71,93,12,5.5,CA,few clouds
25,Busselton,-33.65,115.3333,73.04,56,8,10.31,AU,clear sky
26,Havelock,34.8791,-76.9013,46.38,70,0,0.0,US,clear sky
27,Kloulklubed,7.0419,134.2556,82.9,77,100,22.15,PW,moderate rain
28,Vaini,-21.2,-175.2,81.54,77,11,17.43,TO,few clouds
29,Beira,-19.8436,34.8389,75.47,84,98,3.78,MZ,overcast clouds
30,Nanortalik,60.1432,-45.2371,10.35,68,100,13.53,GL,overcast clouds
31,Gizo,-8.103,156.8419,86.34,68,92,4.94,SB,overcast clouds
32,Mataura,-46.1927,168.8643,72.48,39,7,3.02,NZ,clear sky
33,Tiksi,71.6872,128.8694,-6.43,95,100,8.55,RU,overcast clouds
34,Sosnovo-Ozerskoye,52.5249,111.5418,-18.65,97,36,3.85,RU,scattered clouds
35,Castro,-24.7911,-50.0119,64.17,80,7,4.27,BR,clear sky
36,Punta Arenas,-53.15,-70.9167,51.12,71,42,5.7,CL,scattered clouds
37,Barrow,71.2906,-156.7887,-20.18,63,0,17.27,US,haze
38,Puerto Ayora,-0.7393,-90.3518,77.56,92,47,3.0,EC,scattered clouds
39,Tuatapere,-46.1333,167.6833,72.82,37,1,1.23,NZ,clear sky
40,Moron,-34.6534,-58.6198,69.55,90,30,6.46,AR,scattered clouds
41,Beringovskiy,63.05,179.3167,-6.16,94,100,17.2,RU,overcast clouds
42,Mar Del Plata,-38.0023,-57.5575,70.09,82,0,10.36,AR,clear sky
43,Qaanaaq,77.484,-69.3632,-8.55,51,100,2.66,GL,overcast clouds
44,Avarua,-21.2078,-159.775,82.45,78,20,14.97,CK,few clouds
45,San Quintin,30.4833,-115.95,58.32,73,0,9.6,MX,clear sky
46,Kapaa,22.0752,-159.319,78.78,63,0,17.27,US,clear sky
47,Ponta Do Sol,32.6667,-17.1,62.71,66,95,10.83,PT,overcast clouds
48,Tuktoyaktuk,69.4541,-133.0374,-27.81,100,18,5.23,CA,few clouds
49,Saint George,37.1041,-113.5841,63.95,16,0,3.44,US,clear sky
50,Lasa,46.6166,10.7002,39.94,85,99,3.91,IT,overcast clouds
51,Cherskiy,68.75,161.3,-38.29,99,99,3.04,RU,overcast clouds
52,Jamestown,42.097,-79.2353,42.39,28,0,16.11,US,clear sky
53,Hambantota,6.1241,81.1185,73.74,100,20,0.0,LK,few clouds
54,Chapais,49.7834,-74.8492,8.38,94,100,8.88,CA,light snow
55,Lorengau,-2.0226,147.2712,83.12,75,91,2.57,PG,heavy intensity rain
56,Yellowknife,62.456,-114.3525,-17.45,80,100,4.0,CA,overcast clouds
57,Storforshei,66.4043,14.5233,10.96,91,40,7.05,NO,scattered clouds
58,Kahului,20.8947,-156.47,85.26,83,75,16.11,US,broken clouds
59,Tasiilaq,65.6145,-37.6368,23.16,62,100,12.15,GL,overcast clouds
60,Ribeira Grande,38.5167,-28.7,56.77,59,40,8.08,PT,scattered clouds
61,Adrar,20.5022,-10.0711,65.84,25,4,12.01,MR,clear sky
62,Victoria,22.2855,114.1577,50.95,93,100,7.0,HK,light rain
63,Copenhagen,55.6759,12.5655,47.39,95,100,25.32,DK,light rain
64,Qeshm,26.9581,56.2719,71.38,65,0,1.83,IR,clear sky
65,Butaritari,3.0707,172.7902,81.54,80,93,19.35,KI,light rain
66,Pacific Grove,36.6177,-121.9166,60.62,81,100,11.01,US,overcast clouds
67,Ixtapa,20.7,-105.2,76.23,73,20,6.91,MX,few clouds
68,Nemuro,43.3236,145.575,24.85,83,100,40.85,JP,overcast clouds
69,Codrington,-38.2667,141.9667,61.59,51,100,12.77,AU,overcast clouds
70,Bambous Virieux,-20.3428,57.7575,81.21,85,100,27.96,MU,light rain
71,Lagoa,39.05,-27.9833,55.87,57,18,7.02,PT,few clouds
72,Hobart,-42.8794,147.3294,61.11,38,0,19.57,AU,clear sky
73,Aleksandrovka,46.8383,32.7612,37.24,91,45,6.93,UA,scattered clouds
74,Atuona,-9.8,-139.0333,78.37,72,13,16.15,PF,few clouds
75,Key West,24.5557,-81.7826,78.8,80,100,11.5,US,overcast clouds
76,Havoysund,70.9963,24.6622,18.48,78,100,8.41,NO,overcast clouds
77,Cape Town,-33.9258,18.4232,69.1,78,31,2.21,ZA,scattered clouds
78,Zambezi,-13.5432,23.1047,65.44,99,100,7.52,ZM,moderate rain
79,Atambua,-9.1061,124.8925,79.63,72,100,1.23,ID,overcast clouds
80,Chepareria,1.3077,35.2039,64.9,63,95,3.58,KE,overcast clouds
81,Teya,60.3778,92.6267,2.26,100,100,4.7,RU,overcast clouds
82,Faya,18.3851,42.4509,50.52,66,5,5.5,SA,clear sky
83,Tautira,-17.7333,-149.15,84.22,78,100,18.68,PF,light rain
84,Puro,12.4841,123.3827,79.34,81,100,12.62,PH,heavy intensity rain
85,Saldanha,-33.0117,17.9442,62.51,96,14,5.59,ZA,few clouds
86,Arraial Do Cabo,-22.9661,-42.0278,76.64,88,100,9.91,BR,overcast clouds
87,New Norfolk,-42.7826,147.0587,60.75,46,99,8.01,AU,overcast clouds
88,Borogontsy,62.6683,131.1683,-27.09,97,96,2.51,RU,overcast clouds
89,Tessalit,20.1986,1.0114,70.84,12,0,11.65,ML,clear sky
90,Byron Bay,-28.65,153.6167,83.88,63,28,6.4,AU,scattered clouds
91,Airai,-8.9266,125.4092,69.33,70,100,1.34,TL,overcast clouds
92,Praia,14.9215,-23.5087,70.34,78,75,21.85,CV,broken clouds
93,Auki,-8.7676,160.7034,85.3,71,61,5.12,SB,broken clouds
94,Ostrovnoy,68.0531,39.5131,17.67,83,95,6.13,RU,overcast clouds
95,Jega,12.2175,4.3792,69.78,13,14,10.71,NG,few clouds
96,Gubkinskiy,64.434,76.5026,7.92,93,98,15.88,RU,overcast clouds
97,Akdepe,42.0551,59.3788,37.49,52,0,9.1,TM,clear sky
98,Bajina Basta,43.9708,19.5675,41.65,94,1,4.79,RS,clear sky
99,Imphal,24.8167,93.95,49.33,93,47,1.95,IN,scattered clouds
100,Kodiak,57.79,-152.4072,42.31,75,0,0.0,US,clear sky
101,Krabi,8.0726,98.9105,85.98,92,13,5.21,TH,few clouds
102,Batticaloa,7.7102,81.6924,76.23,86,86,3.58,LK,overcast clouds
103,Esperance,-33.8667,121.9,66.36,58,48,14.0,AU,scattered clouds
104,Zhaoqing,23.0512,112.4597,43.63,93,100,4.41,CN,light rain
105,Najran,17.4924,44.1277,63.68,45,62,4.88,SA,broken clouds
106,Aleppo,36.25,37.5,48.87,86,100,14.9,SY,overcast clouds
107,Orlik,52.5178,99.825,-15.75,97,93,2.98,RU,overcast clouds
108,Havre-Saint-Pierre,50.2334,-63.5986,8.96,72,75,8.05,CA,broken clouds
109,Cabo San Lucas,22.8909,-109.9124,73.62,67,40,5.75,MX,smoke
110,Tabou,4.423,-7.3528,77.61,89,100,5.5,CI,light rain
111,Yarke Pole,45.608,34.3172,42.3,87,100,3.38,UA,overcast clouds
112,Kedougou,12.5579,-12.1743,83.14,16,21,1.81,SN,few clouds
113,Kapoeta,4.7717,33.5903,78.57,21,84,6.11,SS,broken clouds
114,Ancud,-41.8697,-73.8203,60.42,81,100,6.62,CL,overcast clouds
115,Shieli,44.1667,66.75,35.64,64,0,4.56,KZ,clear sky
116,Oussouye,12.485,-16.5469,73.11,57,33,7.38,SN,scattered clouds
117,Saskylakh,71.9167,114.0833,-7.31,95,96,3.6,RU,overcast clouds
118,San Luis,-33.295,-66.3356,72.79,31,100,14.25,AR,overcast clouds
119,Panama City,8.9936,-79.5197,82.06,67,20,10.36,PA,few clouds
120,Ahipara,-35.1667,173.1667,76.71,58,7,1.34,NZ,clear sky
121,Athabasca,54.7169,-113.2854,0.48,93,100,4.47,CA,overcast clouds
122,Port Alfred,-33.5906,26.891,65.37,82,0,9.13,ZA,clear sky
123,Georgetown,5.4112,100.3354,80.53,78,20,8.05,MY,few clouds
124,Axim,4.8699,-2.2405,79.29,88,100,6.31,GH,overcast clouds
125,Lebu,-37.6167,-73.65,57.02,87,0,13.71,CL,clear sky
126,Saint-Leu,-21.15,55.2833,83.26,76,100,15.68,RE,light rain
127,Salinopolis,-0.6136,-47.3561,79.61,81,100,10.33,BR,light rain
128,Ariquemes,-9.9133,-63.0408,71.89,99,90,1.57,BR,overcast clouds
129,Grindavik,63.8424,-22.4338,32.47,80,0,3.44,IS,clear sky
130,Betsiamites,48.9413,-68.646,12.6,96,100,5.03,CA,snow
